timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1764643771978,931,searchFlight,200,OK,Thread Group 1-3,text,true,,285,289,20,20,http://localhost:6060/flight/search,911,0,37
1764643771978,928,searchFlight,200,OK,Thread Group 1-5,text,true,,285,289,20,20,http://localhost:6060/flight/search,913,0,37
1764643772717,192,searchFlight,200,OK,Thread Group 1-20,text,true,,285,289,20,20,http://localhost:6060/flight/search,170,0,2
1764643772362,544,searchFlight,200,OK,Thread Group 1-13,text,true,,285,289,20,20,http://localhost:6060/flight/search,529,0,2
1764643771978,932,searchFlight,200,OK,Thread Group 1-4,text,true,,285,289,20,20,http://localhost:6060/flight/search,911,0,37
1764643772410,500,searchFlight,200,OK,Thread Group 1-14,text,true,,285,289,20,20,http://localhost:6060/flight/search,479,0,2
1764643772520,386,searchFlight,200,OK,Thread Group 1-16,text,true,,285,289,20,20,http://localhost:6060/flight/search,384,0,3
1764643772081,824,searchFlight,200,OK,Thread Group 1-7,text,true,,285,289,20,20,http://localhost:6060/flight/search,823,0,2
1764643772671,234,searchFlight,200,OK,Thread Group 1-19,text,true,,285,289,20,20,http://localhost:6060/flight/search,226,0,2
1764643772258,648,searchFlight,200,OK,Thread Group 1-11,text,true,,285,289,20,20,http://localhost:6060/flight/search,629,0,1
1764643772309,597,searchFlight,200,OK,Thread Group 1-12,text,true,,285,289,20,20,http://localhost:6060/flight/search,582,0,2
1764643772177,728,searchFlight,200,OK,Thread Group 1-9,text,true,,285,289,20,20,http://localhost:6060/flight/search,727,0,1
1764643772218,691,searchFlight,200,OK,Thread Group 1-10,text,true,,285,289,20,20,http://localhost:6060/flight/search,669,0,2
1764643771978,932,searchFlight,200,OK,Thread Group 1-2,text,true,,285,289,20,20,http://localhost:6060/flight/search,909,0,37
1764643772631,275,searchFlight,200,OK,Thread Group 1-18,text,true,,285,289,20,20,http://localhost:6060/flight/search,262,0,2
1764643772470,437,searchFlight,200,OK,Thread Group 1-15,text,true,,285,289,20,20,http://localhost:6060/flight/search,423,0,1
1764643772571,335,searchFlight,200,OK,Thread Group 1-17,text,true,,285,289,20,20,http://localhost:6060/flight/search,333,0,2
1764643772126,779,searchFlight,200,OK,Thread Group 1-8,text,true,,285,289,20,20,http://localhost:6060/flight/search,778,0,1
1764643771977,929,searchFlight,200,OK,Thread Group 1-1,text,true,,285,289,20,20,http://localhost:6060/flight/search,910,0,38
1764643772011,894,searchFlight,200,OK,Thread Group 1-6,text,true,,285,289,20,20,http://localhost:6060/flight/search,893,0,4
1764643772940,141,getFlightById,200,OK,Thread Group 1-8,text,true,,260,148,20,20,http://localhost:6060/flight/692d9091d708551bd5d85e75,141,0,0
1764643772939,142,getFlightById,200,OK,Thread Group 1-4,text,true,,260,148,20,20,http://localhost:6060/flight/692d9091d708551bd5d85e75,141,0,0
1764643772937,145,getFlightById,200,OK,Thread Group 1-13,text,true,,260,148,20,20,http://localhost:6060/flight/692d9091d708551bd5d85e75,144,0,0
1764643772936,145,getFlightById,200,OK,Thread Group 1-2,text,true,,260,148,20,20,http://localhost:6060/flight/692d9091d708551bd5d85e75,145,0,0
1764643772939,143,getFlightById,200,OK,Thread Group 1-6,text,true,,260,148,20,20,http://localhost:6060/flight/692d9091d708551bd5d85e75,141,0,0
1764643772936,154,getFlightById,200,OK,Thread Group 1-7,text,true,,260,148,20,20,http://localhost:6060/flight/692d9091d708551bd5d85e75,154,0,0
1764643772935,155,getFlightById,200,OK,Thread Group 1-9,text,true,,260,148,20,20,http://localhost:6060/flight/692d9091d708551bd5d85e75,155,0,0
1764643772936,154,getFlightById,200,OK,Thread Group 1-15,text,true,,260,148,20,20,http://localhost:6060/flight/692d9091d708551bd5d85e75,154,0,0
1764643772939,151,getFlightById,200,OK,Thread Group 1-17,text,true,,260,148,20,20,http://localhost:6060/flight/692d9091d708551bd5d85e75,151,0,0
1764643772939,152,getFlightById,200,OK,Thread Group 1-11,text,true,,260,148,20,20,http://localhost:6060/flight/692d9091d708551bd5d85e75,152,0,0
1764643772934,157,getFlightById,200,OK,Thread Group 1-19,text,true,,260,148,20,20,http://localhost:6060/flight/692d9091d708551bd5d85e75,157,0,0
1764643772945,149,getFlightById,200,OK,Thread Group 1-5,text,true,,260,148,20,20,http://localhost:6060/flight/692d9091d708551bd5d85e75,149,0,0
1764643772934,160,getFlightById,200,OK,Thread Group 1-20,text,true,,260,148,20,20,http://localhost:6060/flight/692d9091d708551bd5d85e75,160,0,0
1764643772945,150,getFlightById,200,OK,Thread Group 1-10,text,true,,260,148,20,20,http://localhost:6060/flight/692d9091d708551bd5d85e75,150,0,0
1764643772937,158,getFlightById,200,OK,Thread Group 1-1,text,true,,260,148,20,20,http://localhost:6060/flight/692d9091d708551bd5d85e75,158,0,0
1764643772937,158,getFlightById,200,OK,Thread Group 1-18,text,true,,260,148,20,20,http://localhost:6060/flight/692d9091d708551bd5d85e75,158,0,0
1764643772952,148,getFlightById,200,OK,Thread Group 1-3,text,true,,260,148,20,20,http://localhost:6060/flight/692d9091d708551bd5d85e75,148,0,0
1764643772940,162,getFlightById,200,OK,Thread Group 1-14,text,true,,260,148,20,20,http://localhost:6060/flight/692d9091d708551bd5d85e75,161,0,0
1764643772939,174,getFlightById,200,OK,Thread Group 1-12,text,true,,260,148,20,20,http://localhost:6060/flight/692d9091d708551bd5d85e75,174,0,0
1764643772937,178,getFlightById,200,OK,Thread Group 1-16,text,true,,260,148,20,20,http://localhost:6060/flight/692d9091d708551bd5d85e75,178,0,0
1764643773102,78,getAllFlight,200,OK,Thread Group 1-17,text,true,,1260,127,20,20,http://localhost:6060/flight/all,77,0,0
